year, so4
1765, 16.14800946886166
1766, 20.64391859659228
1767, 27.837373200961277
1768, 36.19227099666068
1769, 36.6793278188315
1770, 23.922185668895857
1771, 14.199782180178374
1772, 12.476350347881649
1773, 12.40141852908613
1774, 15.248827643315536
1775, 19.466418586948542
1776, 15.248827643315531
1777, 25.739282274686985
1778, 24.989964086731874
1779, 18.6357458528726
1780, 11.652100341131032
1781, 12.588748076074907
1782, 18.870532218431865
1783, 22.067623153706975
1784, 15.348736735042886
1785, 16.89732765681677
1786, 27.26601808264551
1787, 41.59876461801501
1788, 23.07431584969883
1789, 84.73054225149677
1790, 120.19152106478052
1791, 75.81038874537582
1792, 54.71291887561767
1793, 50.62378247849124
1794, 73.02566768870084
1795, 48.87822791874059
1796, 41.025373308971105
1797, 32.633009603873944
1798, 44.097577879587035
1799, 52.006290754276804
1800, 39.53325274339094
1801, 20.254273138855623
1802, 13.25064580876859
1803, 18.32103221393146
1804, 24.440464082231472
1805, 18.171168576340435
1806, 16.48520265344145
1807, 22.442282247684528
1808, 14.149827634314704
1809, 13.325577627564101
1810, 14.799236730542468
1811, 11.652100341131018
1812, 18.870532218431865
1813, 27.91230501975678
1814, 26.16389591452821
1815, 15.141782187893373
1816, 13.209611717523424
1817, 11.277441247153476
1818, 12.95091853358656
1819, 12.551282166677169
1820, 9.2542821396747
1821, 5.52434271518707
1822, 13.18070944455944
1823, 19.669804952250644
1824, 25.046162950828514
1825, 27.537645925779234
1826, 35.03082780533027
1827, 45.278646071078164
1828, 41.63731649580111
1829, 21.161629344633983
1830, 20.661902233103202
1831, 38.927282382696816
1832, 33.06119142556257
1833, 60.157964374758095
1834, 59.01809246459609
1835, 28.436827751325357
1836, 18.246100395135954
1837, 19.544918587591468
1838, 22.472254975202734
1839, 32.66512324050059
1840, 18.84555494550003
1841, 18.27107766806779
1842, 13.300600354632266
1843, 27.52694138023702
1844, 47.64934609049422
1845, 59.038982547411806
1846, 53.28207795480816
1847, 30.235191402417605
1848, 21.69296405972942
1849, 21.56807769507024
1850, 29.045097809783034
1851, 17.700168572482944
1852, 28.28696411373433
1853, 25.439554999504942
1854, 20.104409501264605
1855, 15.24882764331553
1856, 18.346009486863295
1857, 21.24337314695636
1858, 23.04173679804861
1859, 15.873259466611449
1860, 17.81791857344732
1861, 14.974077641065321
1862, 24.90004590417727
1863, 33.23246415423802
1864, 42.7166915046412
1865, 34.43137325496619
1866, 23.378929982628406
1867, 25.06489590552739
1868, 15.473623099702063
1869, 18.995418583091055
1870, 17.346918569589832
1871, 20.104409501264605
1872, 26.458627735123883
1873, 27.762441382165765
1874, 20.0444640462282
1875, 25.299057839263362
1876, 43.423191510427436
1877, 29.03628230168944
1878, 21.842827697320445
1879, 39.8204696627393
1880, 67.40620783588079
1881, 35.63709433922122
1882, 27.858782292045706
1883, 19.116736765902832
1884, 29.052933816977333
1885, 34.73110053014824
1886, 31.464073230663978
1887, 33.71416870363773
1888, 42.49676175077385
1889, 28.690443138017855
1890, 19.407543586466357
1891, 24.390509536367787
1892, 25.739282274686985
1893, 26.039009549869025
1894, 32.56640354272238
1895, 36.44703918056542
1896, 22.517214066480044
1897, 18.695691307909005
1898, 23.641191348412697
1899, 27.162986831801675
1900, 37.44363237054571
1901, 61.12958029180654
1902, 39.16872935437124
1903, 32.782873241464955
1904, 39.853712142350396
1905, 45.112039426357015
1906, 27.23791865059719
1907, 33.727665739321395
1908, 52.67191885890186
1909, 32.3632550562101
1910, 18.27607312265415
1911, 15.891100375848477
1912, 24.873403479716643
1913, 33.48223688355639
1914, 49.660373379691826
1915, 57.13088003911581
1916, 19.39505495000043
1917, 26.039009549869025
1918, 39.077146020287834
1919, 34.43137325496619
1920, 28.511759570120873
1921, 22.47558527826031
1922, 15.323759462111035
1923, 11.652100341131026
1924, 17.6716231177037
1925, 27.275384559994947
1926, 29.635736852053526
1927, 30.93455504450904
1928, 26.93819137541516
1929, 29.935464127235562
1930, 38.044752072438584
1931, 32.98269142491966
1932, 35.10575962412578
1933, 29.066255029207646
1934, 20.67389132411048
1935, 21.842827697320445
1936, 24.840100449140863
1937, 34.43137325496619
1938, 22.83192770542118
1939, 33.61782779375779
1940, 32.69723687712723
1941, 37.65344146317314
1942, 37.353714187991095
1943, 35.047479320618166
1944, 86.153541510739
1945, 118.55482848939252
1946, 51.821799533757556
1947, 46.94498699381642
1948, 38.22791874060539
1949, 31.46740353372156
1950, 43.22337332697274
1951, 53.06441886211645
1952, 45.29149152572883
1953, 23.69114589427637
1954, 17.64664584477186
1955, 29.23175661159077
1956, 46.22064607879316
1957, 42.52400968488132
1958, 45.78354380248601
1959, 44.575988722666054
1960, 33.25971208834548
1961, 43.55307332967298
1962, 33.896145977855404
1963, 39.82646420824294
1964, 33.85916663870957
1965, 43.84780515026866
1966, 44.09757787958703
1967, 48.66841882611316
1968, 42.22428240969927
1969, 47.694305181771526
1970, 44.98177334137405
1971, 42.32419150142661
1972, 48.18136200394235
1973, 60.207918920621765
1974, 41.51659300996389
1975, 55.426332233733255
1976, 76.39319178045201
1977, 55.998113101019456
1978, 71.22730403760859
1979, 56.61119161843726
1980, 43.27332787283642
1981, 57.81010071916543
1982, 69.99401445531542
1983, 40.95044149017559
1984, 32.03355505350985
1985, 33.83191870460211
1986, 46.420464262247854
1987, 54.77119917912529
1988, 45.27150970738336
1989, 55.43101547240798
1990, 83.89545630470553
1991, 109.7753170538519
1992, 99.6886616682118
1993, 90.48037371400797
1994, 103.37545853036262
1995, 75.76875995715609
1996, 65.60300987389851
