Time,Land_Use,Ozone,Snow_albedo,Tropospheric Aerosols Direct,Tropospheric Aerosols Indirect
2020,-0.205278,0.451834,0.0539366,-0.189395,-0.697
2021,-0.205278,0.451834,0.0539366,-0.189395,-0.697
2022,-0.205278,0.451834,0.0539366,-0.189395,-0.697
2023,-0.205278,0.451834,0.0539366,-0.189395,-0.697
2024,-0.205278,0.451834,0.0539366,-0.189395,-0.697
2025,-0.205278,0.451834,0.0539366,-0.189395,-0.697
2026,-0.205278,0.451834,0.0539366,-0.189395,-0.697
2027,-0.205278,0.451834,0.0539366,-0.189395,-0.697
2028,-0.205278,0.451834,0.0539366,-0.189395,-0.697
2029,-0.205278,0.451834,0.0539366,-0.189395,-0.697
2030,-0.205278,0.451834,0.0539366,-0.189395,-0.697
2031,-0.205278,0.451834,0.0539366,-0.189395,-0.697
2032,-0.205278,0.451834,0.0539366,-0.189395,-0.697
2033,-0.205278,0.451834,0.0539366,-0.189395,-0.697
2034,-0.205278,0.451834,0.0539366,-0.189395,-0.697
2035,-0.205278,0.451834,0.0539366,-0.189395,-0.697
2036,-0.205278,0.451834,0.0539366,-0.189395,-0.697
2037,-0.205278,0.451834,0.0539366,-0.189395,-0.697
2038,-0.205278,0.451834,0.0539366,-0.189395,-0.697
2039,-0.205278,0.451834,0.0539366,-0.189395,-0.697
2040,-0.205278,0.451834,0.0539366,-0.189395,-0.697
2041,-0.205278,0.451834,0.0539366,-0.189395,-0.697
2042,-0.205278,0.451834,0.0539366,-0.189395,-0.697
2043,-0.205278,0.451834,0.0539366,-0.189395,-0.697
2044,-0.205278,0.451834,0.0539366,-0.189395,-0.697
2045,-0.205278,0.451834,0.0539366,-0.189395,-0.697
2046,-0.205278,0.451834,0.0539366,-0.189395,-0.697
2047,-0.205278,0.451834,0.0539366,-0.189395,-0.697
2048,-0.205278,0.451834,0.0539366,-0.189395,-0.697
2049,-0.205278,0.451834,0.0539366,-0.189395,-0.697
2050,-0.205278,0.451834,0.0539366,-0.189395,-0.697
2051,-0.205278,0.451834,0.0539366,-0.189395,-0.697
2052,-0.205278,0.451834,0.0539366,-0.189395,-0.697
2053,-0.205278,0.451834,0.0539366,-0.189395,-0.697
2054,-0.205278,0.451834,0.0539366,-0.189395,-0.697
2055,-0.205278,0.451834,0.0539366,-0.189395,-0.697
2056,-0.205278,0.451834,0.0539366,-0.189395,-0.697
2057,-0.205278,0.451834,0.0539366,-0.189395,-0.697
2058,-0.205278,0.451834,0.0539366,-0.189395,-0.697
2059,-0.205278,0.451834,0.0539366,-0.189395,-0.697
2060,-0.205278,0.451834,0.0539366,-0.189395,-0.697
2061,-0.205278,0.451834,0.0539366,-0.189395,-0.697
2062,-0.205278,0.451834,0.0539366,-0.189395,-0.697
2063,-0.205278,0.451834,0.0539366,-0.189395,-0.697
2064,-0.205278,0.451834,0.0539366,-0.189395,-0.697
2065,-0.205278,0.451834,0.0539366,-0.189395,-0.697
2066,-0.205278,0.451834,0.0539366,-0.189395,-0.697
2067,-0.205278,0.451834,0.0539366,-0.189395,-0.697
2068,-0.205278,0.451834,0.0539366,-0.189395,-0.697
2069,-0.205278,0.451834,0.0539366,-0.189395,-0.697
2070,-0.205278,0.451834,0.0539366,-0.189395,-0.697
