year, co2, ch4, n2o, cfc_11, cfc_12
2020, 414.25116112083333, 1910.9397687083333, 333.137249775, 0.221434194875, 0.4993350845833333
2021, 416.68234945, 1919.060121875, 334.1008988, 0.21968822154166667, 0.4960873576666667
2022, 419.14026690416665, 1927.1456007916668, 335.0722905, 0.21794224825, 0.492749556375
2023, 421.62507904166665, 1935.1971689583334, 336.0514213833333, 0.216196274875, 0.4893218301666667
2024, 424.13695612916666, 1943.215750625, 337.03828925833335, 0.21445030154166667, 0.4858044272916667
2025, 426.6760729833333, 1951.2022347083334, 338.032893225, 0.21270432825, 0.4821976952916667
2026, 429.2426088541667, 1959.1574742083333, 339.0352336125, 0.21095835483333333, 0.47850208283333334
2027, 431.83674750833336, 1967.08229075, 340.04531189166664, 0.20921238145833332, 0.47471814083333336
2028, 434.4586770583333, 1974.9774743333332, 341.0631307208333, 0.207466408125, 0.4708465229166667
2029, 437.10858994166665, 1982.84378575, 342.0886938333333, 0.20572043475000001, 0.46688798691666666
2030, 439.78668285416666, 1990.6819579166668, 343.12200602083334, 0.20397446145833334, 0.46284339429166665
2031, 442.49315675416665, 1998.4926976666666, 344.16307315, 0.202228488125, 0.45871371225
2032, 445.2282168125, 2006.2766862916667, 345.211902075, 0.20048251475, 0.45450001220833336
2033, 447.9920723375, 2014.0345809583334, 346.2685005833333, 0.19873654141666666, 0.45020347116666665
2034, 450.7849367625, 2021.7670168333334, 347.3328774375, 0.196990568, 0.44582537141666667
2035, 453.60702772083334, 2029.4746064583333, 348.40504235416665, 0.195244594625, 0.4413670997083333
2036, 456.4585668125, 2037.1579424583333, 349.485005875, 0.193498621375, 0.436830147125
2037, 459.3397797791667, 2044.817597125, 350.5727794333333, 0.191752648, 0.432216108875
2038, 462.25089640416667, 2052.4541245833334, 351.66837530833334, 0.190006674625, 0.4275266822916667
2039, 465.1921504875, 2060.068060291667, 352.7718066333333, 0.188260701375, 0.42276366691666667
2040, 468.16377984166667, 2067.6599230833335, 353.8830873125, 0.18651472795833332, 0.41792896245833333
2041, 471.1660263625, 2075.2302152083334, 355.0022320125, 0.18476875454166666, 0.41302456816666666
2042, 474.1991358583333, 2082.779422708333, 356.1292562208333, 0.18302278125, 0.408052579875
2043, 477.26335823333335, 2090.308017625, 357.2641761375, 0.181276807875, 0.40301518925
2044, 480.3589473125, 2097.8164565833335, 358.40700867916667, 0.17953083454166666, 0.3979146812916667
2045, 483.48616097916664, 2105.305183, 359.5577715125, 0.17778486125, 0.3927534314166667
2046, 486.6452610875, 2112.774626666667, 360.716483, 0.176038887875, 0.3875339042916667
2047, 489.8365135083333, 2120.2252052916665, 361.88316215, 0.1742929145, 0.38225864991666664
2048, 493.06018812916665, 2127.6573239166664, 363.0578287, 0.172546941125, 0.3769303009166667
2049, 496.3165588666667, 2135.0713757916665, 364.24050300416667, 0.17080096775, 0.371551570125
2050, 499.6059035916667, 2142.467743458333, 365.4312060625, 0.16905499445833333, 0.366125245875
2051, 502.9285043375, 2149.8467983333335, 366.6299595583333, 0.167309021125, 0.360654190375
2052, 506.284647075, 2157.2089014583335, 367.836785725, 0.16556304775, 0.3551413340833333
2053, 509.6746219166667, 2164.5544039166666, 369.05170749583334, 0.16381707445833332, 0.34958967320833334
2054, 513.0987229875, 2171.883647291667, 370.2747483125, 0.16207110104166667, 0.34400226475
2055, 516.5572485625, 2179.1969640416664, 371.50593230416666, 0.160325127625, 0.33838222325
2056, 520.0505010125, 2186.4946774166665, 372.7452840916667, 0.158579154375, 0.33273271508333335
2057, 523.5787868291667, 2193.777102291667, 373.99282896666665, 0.156833181, 0.327056955
2058, 527.1424166458334, 2201.0445454166666, 375.24859269166666, 0.155087207625, 0.32135820108333335
2059, 530.7417052916667, 2208.297305291667, 376.5126016666667, 0.153341234375, 0.31563974975
2060, 534.3769717958334, 2215.5356727916665, 377.78488281666665, 0.151595261, 0.30990493120833335
2061, 538.0485393916666, 2222.759931833333, 379.065463575, 0.14984928754166665, 0.30415710383333333
2062, 541.7567355625, 2229.9703586250002, 380.35437199166665, 0.14810331425, 0.2983996495833333
2063, 545.5018920666666, 2237.167222708333, 381.6516365708333, 0.146357340875, 0.292635968625
2064, 549.2843449583333, 2244.3507869166665, 382.9572863833333, 0.14461136754166667, 0.286869473375
2065, 553.104434625, 2251.52130775, 384.27135101666664, 0.14286539425, 0.28110358429166665
2066, 556.9625057833333, 2258.6790355, 385.59386055, 0.141119420875, 0.2753417229583333
2067, 560.8589075791667, 2265.824214333333, 386.9248455875, 0.13937344754166667, 0.269587308125
2068, 564.7939935666667, 2272.957082666667, 388.2643372416667, 0.137627474125, 0.26384374929166665
2069, 568.6847928, 2279.9296852608695, 389.5841667217391, 0.13591787517391304, 0.25823357382608697
2070, 570.6846871, 2283.486194, 390.2609762, 0.135044889, 0.255374387
