year, CFC11
1978, 0.2788455429343224
1979, 0.29344405762609665
1980, 0.31296668628728225
1981, 0.32698458444002465
1982, 0.34438066497198094
1983, 0.3618619015510437
1984, 0.37298570942150255
1985, 0.39213810997225645
1986, 0.41208673895294967
1987, 0.4343578857485031
1988, 0.45302062679563565
1989, 0.4709482333620278
1990, 0.48800840376391835
1991, 0.4974551776394021
1992, 0.5075795473429261
1993, 0.5132509119918145
1994, 0.5207573939850063
1995, 0.5269046389549408
1996, 0.5327119156626486
1997, 0.536439467473465
1998, 0.5386022136768929
1999, 0.5407777189790922
2000, 0.5429529991317225
2001, 0.5438153473094143
2002, 0.5442357917717054
2003, 0.5438871839859468
2004, 0.5433963479597436
2005, 0.5433628176878055
2006, 0.5416658971581245
2007, 0.5395008297904059
2008, 0.5373013384656867
2009, 0.5347424062306252
2010, 0.5322453639988208
2011, 0.5296704311768158
2012, 0.527060147079294
2013, 0.5241713253898165
2014, 0.5214827772798768
2015, 0.5183611727994681
2016, 0.5146132037814374
2017, 0.5115298064187396
2018, 0.5085189704351084
2019, 0.504608032050431
2020, 0.5007539803187391
2021, 0.4993450412886622
