; Year,TSI [W/m^2]
1880.5,1360.7627
1881.5,1361.0932
1882.5,1361.1539
1883.5,1361.1109
1884.5,1361.3241
1885.5,1361.2171
1886.5,1361.0569
1887.5,1360.8577
1888.5,1360.81
1889.5,1360.7764
1890.5,1360.765
1891.5,1360.884
1892.5,1361.1688
1893.5,1361.3458
1894.5,1361.4701
1895.5,1361.3363
1896.5,1361.2281
1897.5,1360.9385
1898.5,1360.8914
1899.5,1360.8152
1900.5,1360.729
1901.5,1360.6394
1902.5,1360.6319
1903.5,1360.7228
1904.5,1361.0143
1905.5,1361.0005
1906.5,1361.2441
1907.5,1361.1264
1908.5,1361.1528
1909.5,1361.0208
1910.5,1360.9185
1911.5,1360.7133
1912.5,1360.6625
1913.5,1360.711
1914.5,1360.7851
1915.5,1361.0964
1916.5,1361.4054
1917.5,1361.5701
1918.5,1361.7757
1919.5,1361.456
1920.5,1361.1199
1921.5,1360.8915
1922.5,1360.7013
1923.5,1360.5976
1924.5,1360.6045
1925.5,1360.7004
1926.5,1361.0393
1927.5,1361.3065
1928.5,1361.2413
1929.5,1361.1
1930.5,1361.1858
1931.5,1360.9547
1932.5,1360.8472
1933.5,1360.8356
1934.5,1360.8648
1935.5,1360.9766
1936.5,1361.4379
1937.5,1361.717
1938.5,1361.6735
1939.5,1361.6299
1940.5,1361.3999
1941.5,1361.2455
1942.5,1361.0801
1943.5,1360.9052
1944.5,1360.908
1945.5,1361.1456
1946.5,1361.2842
1947.5,1361.7197
1948.5,1361.9235
1949.5,1361.7306
1950.5,1361.6156
1951.5,1361.1933
1952.5,1361.1126
1953.5,1361.0253
1954.5,1360.9819
1955.5,1361.1123
1956.5,1361.4949
1957.5,1362.0982
1958.5,1362.3628
1959.5,1362.0576
1960.5,1361.9256
1961.5,1361.5795
1962.5,1361.1854
1963.5,1361.0138
1964.5,1360.8779
1965.5,1360.8301
1966.5,1360.9332
1967.5,1361.1374
1968.5,1361.4356
1969.5,1361.5281
1970.5,1361.4117
1971.5,1361.2392
1972.5,1361.1948
1973.5,1361.066
1974.5,1360.9792
1975.5,1360.9566
1976.5,1360.944
1977.5,1361.05
1978.5,1361.2295
1979.5,1361.7566
1980.5,1361.6909
1981.5,1361.7126
1982.5,1361.4217
1983.5,1361.3923
1984.5,1360.9775
1985.5,1360.8359
1986.5,1360.8877
1987.5,1360.9677
1988.5,1361.284
1989.5,1361.7357
1990.5,1361.6844
1991.5,1361.5875
1992.5,1361.5255
1993.5,1361.3081
1994.5,1361.1154
1995.5,1361.02
1996.5,1360.9005
1997.5,1361.0787
1998.5,1361.4702
1999.5,1361.7339
2000.5,1361.9522
2001.5,1361.9009
2002.5,1361.9725
2003.5,1361.4971
2004.5,1361.296
2005.5,1361.1431
2006.5,1361.1004
2007.5,1361.0004
2008.5,1360.9794
2009.5,1360.9856
2010.5,1361.2296
2011.5,1361.464
2012.5,1361.592
2013.5,1361.6117
2014.5,1361.5882
2015.5,1361.7017
2016.5,1361.3384
2017.5,1361.2147
2018.5,1361.256
2019.5,1361.256
2020.5,1361.256
