Year,TSI [W/m^2]
1880,1360.7627
1881,1361.0932
1882,1361.1539
1883,1361.1109
1884,1361.3241
1885,1361.2171
1886,1361.0569
1887,1360.8577
1888,1360.81
1889,1360.7764
1890,1360.765
1891,1360.884
1892,1361.1688
1893,1361.3458
1894,1361.4701
1895,1361.3363
1896,1361.2281
1897,1360.9385
1898,1360.8914
1899,1360.8152
1900,1360.729
1901,1360.6394
1902,1360.6319
1903,1360.7228
1904,1361.0143
1905,1361.0005
1906,1361.2441
1907,1361.1264
1908,1361.1528
1909,1361.0208
1910,1360.9185
1911,1360.7133
1912,1360.6625
1913,1360.711
1914,1360.7851
1915,1361.0964
1916,1361.4054
1917,1361.5701
1918,1361.7757
1919,1361.456
1920,1361.1199
1921,1360.8915
1922,1360.7013
1923,1360.5976
1924,1360.6045
1925,1360.7004
1926,1361.0393
1927,1361.3065
1928,1361.2413
1929,1361.1
1930,1361.1858
1931,1360.9547
1932,1360.8472
1933,1360.8356
1934,1360.8648
1935,1360.9766
1936,1361.4379
1937,1361.717
1938,1361.6735
1939,1361.6299
1940,1361.3999
1941,1361.2455
1942,1361.0801
1943,1360.9052
1944,1360.908
1945,1361.1456
1946,1361.2842
1947,1361.7197
1948,1361.9235
1949,1361.7306
1950,1361.6156
1951,1361.1933
1952,1361.1126
1953,1361.0253
1954,1360.9819
1955,1361.1123
1956,1361.4949
1957,1362.0982
1958,1362.3628
1959,1362.0576
1960,1361.9256
1961,1361.5795
1962,1361.1854
1963,1361.0138
1964,1360.8779
1965,1360.8301
1966,1360.9332
1967,1361.1374
1968,1361.4356
1969,1361.5281
1970,1361.4117
1971,1361.2392
1972,1361.1948
1973,1361.066
1974,1360.9792
1975,1360.9566
1976,1360.944
1977,1361.05
1978,1361.2295
1979,1361.7566
1980,1361.6909
1981,1361.7126
1982,1361.4217
1983,1361.3923
1984,1360.9775
1985,1360.8359
1986,1360.8877
1987,1360.9677
1988,1361.284
1989,1361.7357
1990,1361.6844
1991,1361.5875
1992,1361.5255
1993,1361.3081
1994,1361.1154
1995,1361.02
1996,1360.9005
1997,1361.0787
1998,1361.4702
1999,1361.7339
2000,1361.9522
2001,1361.9009
2002,1361.9725
2003,1361.4971
2004,1361.296
2005,1361.1431
2006,1361.1004
2007,1361.0004
2008,1360.9794
2009,1360.9856
2010,1361.2296
2011,1361.464
2012,1361.592
2013,1361.6117
2014,1361.5882
2015,1361.7017
2016,1361.3384
2017,1361.2147
2018,1361.256
2019,1361.256
2020,1361.256
